	16depth	25depth
K03520	7501.0	8695.0
K09773	930.0	715.0
K16053	1937.0	931.0
K03296	33142.0	13779.0
K03529	7913.0	3917.0
K11690	6712.0	3912.0
K01652	23776.0	14107.0
K06215	1451.0	794.0
K01768	52677.0	39035.0
K01845	11216.0	5377.0
K07090	8606.0	4101.0
K01006	12053.0	4643.0
K00789	7116.0	3154.0
K01869	12680.0	5700.0
K02031	10035.333333333334	4425.833333333334
K18889	2816.0	1097.0
K02669	12529.0	4513.0
K07019	1194.0	714.0
K03526	4871.0	2402.0
K21833	1904.0	1037.0
K04652	1980.0	400.0
K01698	5211.0	2408.0
K21023	6515.0	5184.0
K03606	1823.0	868.0
K11527	8931.0	2646.0
K06281	2809.0	897.0
K03738	20329.0	3656.0
K03301	2460.0	1120.0
K03414	209.0	231.0
K01533	5273.0	2322.0
K07263	15194.0	6262.0
K07124	3257.5	1805.5
K07313	1203.0	702.0
K00634	705.0	130.0
K01591	3509.0	1666.0
K02652	16268.0	4841.0
K03299	2983.0	1801.0
K01151	1838.5	770.0
K01406	2172.0	1588.0
K03317	3123.0	1520.0
K13953	3953.0	2088.0
K07058	3006.0	1569.0
K00174	14164.0	5202.0
K01649	11205.0	5583.0
K06859	127.0	6.0
K01262	8410.5	3871.0
K14083	15655.0	3131.0
K13810	1810.0	1219.0
K01696	5731.5	3064.5
K12508	546.0	441.0
K01728	1337.0	181.0
K03407	7205.0	3701.0
K00568	3508.0	1848.0
K02667	5267.0	1894.0
K02355	20487.0	8397.0
K01740	4737.0	1902.0
K00958	5543.0	2129.0
K03601	4811.0	2362.0
K16907	173.0	114.0
K07037	2357.0	812.0
K03111	2428.0	1326.0
K00337	4638.0	2763.0
K03281	6212.0	2859.0
K07114	22060.0	8202.0
K00332	1729.0	1020.0
K20074	4302.0	1823.0
K00912	3091.0	1440.0
K02457	296.0	237.0
K01999	10193.0	5674.0
K03320	11502.0	7806.0
K01881	7471.0	3428.0
K00499	768.0	680.0
K02481	9476.0	3307.0
K14392	541.0	300.0
K00338	1820.0	1161.0
K00317	5927.0	3020.0
K09458	14173.0	5675.0
K03568	6379.0	2713.0
K03525	3142.0	1607.0
K12941	3613.0	1307.0
K14128	1002.0	45.0
K05587	302.0	62.0
K03699	4506.0	2180.0
K01756	6197.0	2833.0
K12132	96217.0	45104.0
K01955	18248.0	7161.0
K13831	986.0	84.0
K01720	2313.0	1175.0
K03695	10410.0	4775.0
K06402	689.0	451.0
K18672	1881.0	750.0
K08282	6284.0	3466.0
K01755	5844.0	2795.0
K00626	25090.0	12877.0
K20447	2586.0	1128.0
K01953	14554.0	6932.0
K20814	741.0	544.0
K00335	15575.0	3733.0
K07708	2521.0	1425.0
K01207	4468.0	1803.0
K01961	6172.0	3114.0
K02931	1804.0	874.0
K02952	1783.0	888.0
K00602	7428.0	3453.0
K19428	529.0	190.0
K07403	5375.0	2072.0
K00986	12742.0	4136.0
K02482	13655.0	4081.0
K03497	4964.0	2771.0
K08678	2123.0	924.0
K00344	11122.5	8756.5
K01179	5405.0	1133.5
K03168	8564.0	3998.0
K00948	5317.0	2489.0
K03307	16675.0	5842.0
K02533	916.0	498.0
K14652	5467.0	2651.0
K04075	3797.0	1800.0
K03088	28737.0	11874.0
K01840	6031.0	2640.0
K02400	3554.0	1666.0
K02567	4664.0	1866.0
K05349	4762.0	1828.0
K00831	2783.0	1590.0
K08965	97.0	3.0
K01130	51798.5	16993.5
K00147	5153.0	2441.0
K00177	2158.0	284.0
K07126	4273.0	3730.0
K03615	5370.0	1347.0
K01491	4825.0	2167.0
K04096	4439.0	2106.0
K00058	13139.0	6220.0
K07793	4609.0	3140.0
K14440	250.0	184.0
K06400	3992.0	3068.0
K00382	14764.0	7514.0
K01714	7313.0	3501.0
K07497	36163.0	16313.0
K16052	4175.0	1746.0
K01784	15020.5	6240.0
K01239	1747.0	976.0
K07007	2253.0	897.0
K10819	1509.0	452.0
K02358	12678.0	5468.0
K01754	8742.0	4940.0
K15521	1424.0	600.0
K03701	22643.0	9680.0
K07154	4008.0	1066.0
K16203	1772.0	332.0
K06978	10214.0	3838.0
K03439	1407.0	829.0
K00942	2147.0	1088.0
K10111	281.0	132.0
K00612	7372.0	3747.0
K02032	7473.333333333333	3531.833333333334
K03339	5.0	2.0
K01841	1109.0	469.0
K07492	1564.0	1746.0
K11749	4069.0	2118.0
K00969	2419.0	1182.0
K01956	4590.0	2614.0
K03183	7332.0	3908.0
K03110	4097.0	2005.0
K04072	615.0	257.0
K00573	7800.0	3887.0
K03622	115.0	101.0
K01409	5308.0	2542.0
K02014	27763.0	17424.0
K00812	8023.0	3293.0
K00941	2244.0	1429.0
K03581	4857.0	1630.0
K00057	4936.0	2132.0
K08352	4977.0	1293.0
K02622	2935.0	1497.0
K12256	2219.0	1336.0
K02275	4488.0	3244.0
